,Unnamed: 0,author,statement,source,target,BinaryTarget,BinaryNumTarget
0,0,Jill Terreri,"New York is ""leading the nation with the lowest imprisonment rate of any large state”",NYS Department of Corrections and Community Supervision,True,REAL,1
1,1,Eleanor Hildebrandt,"“Iowa ranks 45th in the U.S. for internet connectivity.""",Cindy Axne,True,REAL,1
2,2,Emily Zirkelbach,“FUN FACT: West Virginia is home to zero billionaires.”,David Gura,True,REAL,1
3,3,Madeline Heim,Says gubernatorial candidate Rebecca Kleefisch “worked with Scott Walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.”,Kelda Helen Roys,True,REAL,1
4,4,Sabine Martin,"The Biden administration ""published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.""",Randy Feenstra,True,REAL,1
5,5,Andy Nguyen,"""Southwest Airlines announce they will no longer terminate employees over the mandate.""",Facebook posts,True,REAL,1
6,6,Laura Schulte,"“The annual Pentagon budget hovers over $750 billion annually, twice that of the much debated Build Back Better Act that costs about $350 billion annually as currently proposed.”",Mark Pocan,True,REAL,1
7,7,Emma Copley,"“If you look at the hospitalizations at Ruby Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated.”",Kathryn Moffett Bradford,True,REAL,1
8,8,John Brumley,“Overdose deaths in WV are up 45% from the prior year.”,David McKinley,True,REAL,1
9,9,D.L. Davis,"The GOP-controlled Legislature has ""refused to act on at least 150"" appointees of Gov. Tony Evers.",Chris Larson,True,REAL,1
10,10,D.L. Davis,End of eviction moratorium means “millions of Americans” could lose their housing in the middle of a pandemic.,Mark Pocan,True,REAL,1
11,11,Miriam Valverde,"The Trump administration worked to free 5,000 Taliban prisoners.",Mitt Romney,True,REAL,1
12,12,D.L. Davis,"In Afghanistan, “over 100 billion dollars spent on military contracts.”",Mandela Barnes,True,REAL,1
13,13,Amy Sherman,A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida.,Viral image,True,REAL,1
14,14,D.L. Davis,"""We’ve got 115,000 miles of roads in this state and 90% is owned by the locals.”",Craig Thompson,True,REAL,1
15,15,Madeline Heim,"“324,000 pregnant people experience domestic violence during their pregnancy.”",Gwen Moore,True,REAL,1
16,16,Brandon Mulder,A quorum-breaking Texas Democrat said in 2007 that mail-in ballot fraud “is the greatest source of voter fraud in this state.”,Chip Roy,True,REAL,1
17,17,Madeline Heim,"“It’s been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.”",Mandela Barnes,True,REAL,1
18,18,Laura Schulte,“We have a record 9.3 million job openings in the U.S.”,Glenn Grothman,True,REAL,1
19,19,D.L. Davis,"“Before the pandemic, just over 40,000 were on continuing UI claims. Now, there are well over 100,000 on state or federal UI benefits.”",Mark Born,True,REAL,1
20,20,John Pullano,It’s not currently “legal for a New York state student to have a glass of fresh whole milk.”,Lorraine Lewandrowski,True,REAL,1
21,21,Madeline Heim,"“Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.”",Mandela Barnes,True,REAL,1
22,22,Jon Greenberg,"“New Haven, Conn., had to issue bonds for a bridge after using funds for that bridge to pay for a police misconduct settlement.""",Tim Kaine,True,REAL,1
23,23,Madeline Heim,"Wisconsin’s 2019-21 budget produced the first positive general fund balance since 2000, and the governor’s proposed 2021-23 budget would return it to a deficit.",Wisconsin Republican Legislative leaders,True,REAL,1
24,24,Kiannah Sepeda-Miller,Opposition to having a fully elected Chicago Board of Education is in the “super minority.”,Robert Martwick,True,REAL,1
25,25,Brandon Mulder,“We now have more job openings than we do people who are on unemployment. We have 60% more job openings today than we did the month before the pandemic hit the state of Texas.”,Greg Abbott,True,REAL,1
26,26,Lyle Muller,"“There are more job openings than there are people on unemployment"" in Iowa.",Lindsay James,True,REAL,1
27,27,Paul Specht,Says he was “one of the 2 (state Senators) who voted against” North Carolina’s body camera law.,Jeff Jackson,True,REAL,1
28,28,Chris Nichols,“San Francisco had twice as many drug overdose deaths as COVID deaths last year.”,Kevin Kiley,True,REAL,1
29,29,Warren Fiske,On Virginia’s new marijuana law: “You can have up to one pound with only a $25 fine.”,Kirk Cox,True,REAL,1
30,30,Haley BeMiller,Foxconn “is the largest taxpayer in Racine County.”,Van Wanggaard,True,REAL,1
31,31,Brian Grace,"“The federal American Rescue Plan will purchase more food from farmers for distribution.""",Zach Wahls,True,REAL,1
32,32,Louis Jacobson,“There is racism physically built into some of our highways.”,Pete Buttigieg,True,REAL,1
33,33,Brandon Mulder,“Twice as many children are in Border Patrol custody under Biden than Trump peak in 2019.”,Greg Abbott,True,REAL,1
34,34,Amy Sherman,U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,Facebook posts,True,REAL,1
35,35,Madeline Heim,"“There’s still (only) a handful of school districts"" doing no in-person instruction.",Tony Evers,True,REAL,1
36,36,Duncan Slade,West Virginia “is the only state to decline in population over the last 70 years”,Jim Justice,True,REAL,1
37,37,Warren Fiske,"“If you look at the average teacher pay compared to the average pay of your citizens, Virginia ranks last.”",Terry McAuliffe,True,REAL,1
38,38,Haley BeMiller,"""Pot today is not the weed baby boomers were smoking.""",Barbara Dittrich,True,REAL,1
39,39,Mary Hartel,"""86% of Americans and 82% of gun owners support requiring all gun buyers to pass a background check.""",Beth Wessel-Kroeschell,True,REAL,1
40,40,Amy Sherman,The Georgia House passed a bill that “makes it a misdemeanor to give food or water to voters waiting in line.”,Facebook posts,True,REAL,1
41,41,Louis Jacobson,“The filibuster was never an idea of the founding fathers.”,Chuck Todd,True,REAL,1
42,42,Brandon Mulder,“Pipelines do not freeze. They are naturally insulated. They’re buried beneath the ground.”,Energy Transfer,True,REAL,1
43,43,Haley BeMiller,"“The National Academy of Medicine points to a significant correlation between marijuana and psychosis, schizophrenia, and other psychotic disorders, particularly in teenagers where the risk of developing schizophrenia increases three fold.”",Chris Kapenga,True,REAL,1
44,44,Victoria Knight,"“Becerra supports Bernie’s government takeover of your health care, eliminating your employer-provided coverage.”",Tom Cotton,True,REAL,1
45,45,Jessica Calefati,“We’re the only major gas-producing state in the US that doesn’t have a severance tax.”,Tom Wolf,True,REAL,1
46,46,Miriam Valverde,"“There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""",Cory Booker,True,REAL,1
47,47,Amy Sherman,"“Energy experts and State House Dems, among others, were warning of this (the Texas power blackout) for years.”",Beto O'Rourke,True,REAL,1
48,48,Noah Y.,"""The Texas power grid is not part of the US power grid because they wanted to avoid federal regulation.”",Facebook posts,True,REAL,1
49,49,Haley BeMiller,"“We know mask mandates work. There’s enough evidence out there between counties that have done it and counties that haven’t.""",Gordon Hintz,True,REAL,1
50,50,Madison Black,"Insulin prices have ""gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices.""",Chuck Grassley,True,REAL,1
51,51,Paul Specht,"North Carolina Secretary of State Elaine Marshall ""has won more statewide races than probably anyone else alive.""",Jenna Wadsworth,True,REAL,1
52,52,Warren Fiske,"“The United States is the only industrialized, modernized country that does not already have a paid family medical leave program in place.”",Jennifer Boysko,True,REAL,1
53,53,Miriam Valverde,"Says Joe Biden “has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.”",Marco Rubio,True,REAL,1
54,54,Haley BeMiller,"""We put $330 million in general school aids — the largest in more than a decade.""",Tony Evers,True,REAL,1
55,55,Jessica Calefati,“There will be several thousand dollars in payments going to families with six-figure incomes who’ve had no income interruption whatsoever.”,Pat Toomey,True,REAL,1
56,56,Warren Fiske,Virginia ranks “in the bottom third of states” in administering the COVID-19 vaccine.,Kirk Cox,True,REAL,1
57,57,Eric Litke,"""It takes quite a while on Election Day to load those ballots, which is why we have the 1 a.m. or 3 a.m. ballot dumping in Milwaukee.""",Devin LeMahieu,True,REAL,1
58,58,Nusaiba Mizan,"“It wasn’t all women that lost jobs (in the December jobs report), it was mostly Black and Latina women. In fact, white women gained employment.”",Sarah Godlewski,True,REAL,1
59,59,Louis Jacobson,The second presidential impeachment of Donald Trump was “the most bipartisan impeachment in American history.”,Jake Tapper,True,REAL,1
60,60,Jon Greenberg,"Summer “protesters outside the White House were met with tear gas, rubber bullets, a full militarized response. While ... rioters were able to breach the Capitol.”",Sherrod Brown,True,REAL,1
61,61,Sarah Watson,"Before COVID-19, “more Iowans (were) working than at any other time in our state history.""",Kim Reynolds,True,REAL,1
62,62,Louis Jacobson,"""This election actually was not unusually close.""",Mitch McConnell,True,REAL,1
63,63,Amy Sherman,"In more than 60 cases, judges “looked at the allegations that Trump was making and determined they were without any merit.”",Joe Biden,True,REAL,1
64,64,Eric Litke,“Congress has one job here: to count electoral votes that have in fact been cast by any state.”,Mike Gallagher,True,REAL,1
65,65,Jessica Calefati,"“In my state, as in many other states, we have governors who are closing down businesses again.”",Pat Toomey,True,REAL,1
66,66,Laura Schulte,“Jurisdictions representing about 80% of WI residents have passed referendums or resolutions in favor of fair maps.”,Chris Larson,True,REAL,1
67,67,Eric Litke,"""New data shows in-person learning isn't driving spikes in cases.""",Mike Gallagher,True,REAL,1
68,68,Eric Litke,“Wisconsin is one of the few states that doesn’t allow absentee ballots to be processed before Election Day.”,Tim Carpenter,True,REAL,1
69,69,Kiannah Sepeda-Miller,"“Republican elected officials, a network of propaganda publications in the state and some radio shock jocks” were spreading “a lie” about his daughter breaking COVID-19 restrictions.",JB Pritzker,True,REAL,1
70,70,Paul Specht,Says COVID-19 has killed more North Carolinians in a year than the flu has in 10 years.,Mandy Cohen,True,REAL,1
71,71,Warren Fiske,"“People of color and those of not, they use marijuana at the same rate. People of color are three times more likely to get arrested and convicted.”",Ralph Northam,True,REAL,1
72,72,Eleanor Hildebrandt,"When Donald Trump lost the Iowa caucus to Ted Cruz in 2016, ""he immediately cried that Cruz cheated.”",Tweets,True,REAL,1
73,73,Madeline Heim,"""We heard from the Department of Homeland Security ... that this was probably the most secure election that’s ever been run in the United States.”",Tammy Baldwin,True,REAL,1
